핸들,댓글 내용
@soyeeyang2690,언니 안 그래도 여름에 바를 선크림찾고있었는데!!! 이거 제형이 너무 신박..!! 친구한테 영업해서 두개씩 나눌라고ㅋㅋ일단 4개 파워결제했어여ㅋㅋ써보고 잘 맞으면 저도 10개 쟁일래요!!!!
@user-ou4iy6qv2t," 와. 심톨 언니 진짜 제대로 일 내셨어요.축하드려요. 써보기 전인데 대박 예감. ..거기다 세럼종류라니. 덮히는 무거운 느낌이 힘들거나 무기자가좋은데 건조해지는거,

유기자차는 너무 끈적이거나 눈시림 또는 여름에는 묵직하게 느껴지는게 늘 불만이었어요. 

언니가 이렇게도 칭찬하시는 개발하신 선세럼 정말 써보고싶어요. 선크림에 예민한데 써보고좋으면 쟁이고 선물도하고싶어요
 심톨언니 대박납시다 "
@user-qm4hg3ej4z,그런데 일반 썬크림은 500원 동전만큼 바르라고 하는데 이 썬크림은 심톨님이 보여주신양으로 두번 레이어링 하면 충분한가요?(화장 안 한다고 가정 시)좋은 성분인건 정말 좋은데 매일 바르는 것 치고 한 통당 양이 정말 적어보이네요~
@Ivory_1004,"수부지 트러블피부 ..이것저것 선크림 엄청 쟁엿는데 매트해서 답답하거나, 유분기가 너무많아지고 촉촉한거는 끈적임때문에 잘 안쓰고 선크림말고 선세럼으로 이리저리보고잇는데 딱 주셧어요!!! 톨언니 이번에도 역시 신뢰감을 팍팍주셔서 믿고갑니다"
@user-vg7fy4eq3u,심톨님이 추천한 선크림이라서 너무 궁금해요 구매하러 갈게요
@user-zt4fx2ue3n,"심톨님 항상 영상 보면서 얻는게 많은데.. 선크림까지..!!! 믿고사는 심톨템…
심톨님 유럽여행 준비 영상 + 최근 올라온 여행 마음가짐 영상 이번에 나오는 선크림까지사서 즐건 유럽여행 다녀와야겠어용 쿜쿜"
@ria_mini,"햇빛알레르기있어서 선크림 필수인데요.. 피뷰가 또 예민하다보니 선크림도 따갑고 눈시리고 잘 맞는거 찾기가 넘넘 힘들구 백탁있는 제품은 바르고나가면 지워지고 어느부분은 하얗고 어느부분은 누렇고 백탁없는 제품은 유분감이 대체로 많아 번들거리고 트러블나고 힘들더라구요 진짜 선크림 유목민인데 투명선크림 너무 좋아보여요
 평소 심톨님 유튜브보면서 손민수 많이해서 심톨님이 얼마나 꼼꼼하고 좋은 제품들 소개하는지 잘 알아서 선크림도 좋을거라고 믿고 구매해요"
@zzimmm2,"신생브랜드..! 긴가민가해서 구입하기전에 한번 써보고 구입하도 싶네요! 아직 후기들도 없고ㅠ 당첨돼서 써보고 구입까지 이어지고 싶어요..🫶
 가격대도 살짝은 부담이 되긴해서 당첨소망해요
 선크림 저도 찝찝해서 바르기가 싫은데 선세럼이라니.!! 투명 선크림 넘넘 궁금하네요!"
@user-ol9ni9jz5z,"심톨님 관리 끝판왕인거 다 알쥬...!
 여름에 답답함 없는 썬크림에 진정까지 가능하다니 믿고 바로 사러 간다~~~!!!"
@user-tx1nf3ff6b,"심톨이 만든 선크림이라니. 믿고 쓰죠!!!
️ 투명한 제형 넘 기대됩니다!!! 사용감 대박일 것 같다는. 그리고 평소와 다른 텐션이 지금 '나 진지하다.' 를 보여줘서 신뢰감 상승🩷 일단 구매해야죠!!!ㅎㅎㅎ"
@haeppy5732,언니가 만든 썬세럼 그냥 삽니다요.. ㅠㅠ 그 특유의 찐득한 선크림 제형때문에 29살 되도록 써야지 써야지만 하고 안썼는데 그 제형을 바꿔주셨다니.. 믿고 4개 갑니다!!!!!!
@user-rd4yx4fy8b,"심톨픽? 진짜 무조건 결제해.. 후회한 적이 없습니다., 한번두ㅠㅠ.. 심지어 베리시 진짜 촉감 천재라 원래 좋아했는데 선세럼을 만들었다니 너무 기대돼요ㅠㅠㅠ 4개 세트ㄱㄱ.."
@user-iy9ko8ic9f,우와아~ 바로 쟁여야겠어요. 여드름 올라오는 중학생 아이가 같이 발라도 될까요?
@parkone6944,헉 지금 도착해서 사용해보니까 사용감이 엄청 좋아서 댓글 남겨요ㅠ 겨울에 쓰던 선크림이 요새 약간 기름지게 느껴져서 구매해봤는데 광은 도는데 라이트하고 가볍게 발려서 엄청 좋고 선크림 바르는거 같은 느낌이 아예 없어요! 4개 샀는데 주변에 나눠줘야겠어요..!!
@happy_erin,"저는 맘에 딱 드는 선크림을 못찾아서 그동안 유명한 선크림들 많이 발라봤는데 답답한 느낌 + 아침마다 거울보고 펴발라야하는 귀찮음 때문에 잘 안바르게되는데 심톨님이 만드신거라보니 너무 기대되고 꼭 써보고 싶어요
 발림성이랑 흡수력 좋은 선크림 진짜 너무 필요했거등요🥹! 이번 겨울에 코타키나발루 가는데 그때 가져가서 매일매일 꼼꼼히 발라서 동남아의 강한 햇빛에서도 하얀피부를 사수가 가능한지 테스트해보려구요!!! 저도 선세럼 열심히 챙겨발라서 심톨님처럼 동안 피부 유지하고 싶어요오
 가격도 너무 좋아서 무조건 쟁일생각입니당!"
@merryeve,"썬세럼 < 이라는 걸 처음 들어서 너무 신기해요.... 캡슐도 들어있고 초록색인 것도!! 동안/ 안티에이징에 저두 진심이라 두근두근 
 
썬크림 열심히 바르는데 매일 많이 발라야 한다는 중압감과 답답함!!!들이 제법 있었는데 이건 수분크림 바르는 느낌? 같아서 좋을 거 같아요 메이크업도 안 밀리고 오히려 메베 느낌이라니 !! 유기자차인 것도 너무 좋아요 ㅋㅋㅋ 성분도 신경 써서 넣었다는 말에 델피어 아쿠아 테카 카밍 선 세럼 백점 드립니다 .. 백쩜!!!!"
@dbthd486,믿고 보는 최강동안 심톨님이 제작하신 선세럼이라니 너무 궁금해요🥹🥹🥹저도 피부가 정말 극극 예민한 타입이라 선크림도 아무거나 못쓰는데 꼭 써보고 싶네용 ㅠㅠ 이벤트 당첨되면 블로그 후기도 꼭 작성해보겠습니다!!!!
@su-ov5zh,아 진짜 기대돼요! 30대 되고 피부도 예민해지고 건조해져서 화장 잘 안하는데 선크림은 꼭 바르려고 노력중이라 이것 저것 써보는데 딱 이거다! 하는걸 못찾아서 헤메는 중이거든요 흑흑 이 영상 보고 바로 주문 했습니다 너무 기대돼요 !! 언니처럼 선크림 특유의 답답함이 싫은데 촉촉한 선세럼 너무 기대 돼요 !!
@user-vk8yd8ht4i,"최강동안 심톨님 썬제품이라니!! 최대할인 최대구성으로 구매갑니다🥹 구매여름엔 피부 진정에 좋고 수분 가득한 시카 제품 필수인데 때맞춰 만났네요
시카, 티트리 제품 넘 선호하는데 성분을 더 세분화 했다니 넘 궁금해요
 세럼과 함께 합쳐져서 두가지 따로 안발라도 되고 개이득인데 이 가격에 구매해도 되나요🫶 벌써 다음 제품라인도 기대되요"
@swhite805,"진짜 심톨님 말씀대로 선크림 발라여 하는데 
제 피부도 민감해서 선크림 유목민이고
그 특유의 끈적한것도 있어서
잘 안 발라서 친구가 항상 잔소리 했거든요,,
이런 선세럼이 있다면 너무 기대됩니다 ㅠㅠ
진짜 발리나 ? 했는데 자외선카메라 테스트도 해주시니 믿음이 갑니당 !!!🫢
민감성이라 아쿠아테카 성분도 기대되고
얼굴에 열감이 있는 편인데 시원한 느낌도 있다고 해서 더더욱 기대됩니다아아앙 
️
빨리 받아서 써보고 이번엔 젭알 선크림 정착 하고 싶네용 "
@user-ht7jk2bi4m,"으앙 심톨님 ~ 
 델피어 선세럼 정말 너무 궁금하네요 ! 진짜 외출 필수템 선크림 ,, 노화방지의 비결 중 하나인 것 같아요 너무 중요한 요물템 :) 델피어의 브랜딩을 처음부터 한 만큼 심톨님의 애정이 가득 담긴 브랜드 같아요 !! 그만큼 애정을 쏟은 아이템인 것 같아 더더욱 기대만땅 
 투명한 선 세럼 처음 봐서 그런지 너무 궁금하고 ! 진짜 너무 혁명적인 아이템같아요 기초 후 베이스 전 발라주면 찰떡으로 화잘 잘먹을 것 같습니댜 기존의 텁텁한 느낌을 없앤 아이템이라 ,, 증말 최고 
 좋은 성분 가득이라 예민한 저 같은 피부도 안심하고 사용하기 좋을 것 같아요 ! 발림성 좋아서 특히나 지금 같은 여름 계절에 딱이네요 
 후기도 대박이구 실물로 꼭 만나보고 싶네요 ㅎ-ㅎ 이런 아이템 만들어주시면 영광입니댜 ,. 
 "
@HiHi-nl3ky,알고리즘으로 왔는데 정말 생각만하던 제품이 만들어졌네요 바로 구매했습니다!
@gos-qq9ix,"선크림
 선크림 유목님으로써 이번 영상 정말 좋아요!! 선크림이 생각보다 딱 맞는 선크림이없어서 계속계속 찾고 있었는데 신생이라 뭔가 익숙하지는 않는데 피부가 초예민에 지성 개복치라서 
선크림 사기 두렵긴한데 그래도 심톨님 믿고 구매하러갑니다"
@user-jq4hs3lp6l,"헐 
 언니믿고 무조건 구매!!"
@eunzzi_92,"OMG 선세럼이요??!!! 
저는 수분형 유기자차로 선크림을 사용하고있는데 얼굴이 일어났었어요ㅠㅠ 그래서 몸에 바르고있는중!! ㅠㅠ 저는 백탁현상없어야하고 서걱거리는 느낌도 싫고 그치만  원료도 좋다고 하시고 거기에 바르는 부담없이 선세럼이라 바로 구매했습니다!! 기대되서 언능 사용해보고싶어요"
@user-qq9hb9ub9n,"와 선세럼 엄청 좋아보여요 부들부들 바르기 쉬울거 같고 손도 잘 갈거 같아요 기존 선크림의 미끌미끌 느글느글이 아니고 세럼이네!!!!! 
자연스럽게 회원가입하고 4번 세트 질러버렸습니다. 이번 여른엔 피부를 잘 지켜보겠음다!!!!"
@user-op4fh8cv1o,선크림 많이 쓰는데 이 선크림도 한번 써볼게요!!
@user-sl2jp2xn1c,"투명선크림이라니 너무 신기하네요! 선크림만 바르면 바싹말라버리는 피부라 고민됬는데 진정성분에 촉촉함까지
 너무나 제 니즈와 딱이라서 너무기대됩니다용"
@hllh526,"그동안 사용해본 유기자차는 눈이 너무 시려서 팬더마냥 눈주위엔 못발랐고, 무기자차는 바르고 한시간만 있어도 얼굴이 너무 건조하게 당겨서 힘들었는데
심톨님 선크림은 너무 기대됩니다 진짜 제발 눈시림이 없었으면 ㅠㅠ 이제 그만 정착하고 싶어요 ㅠㅠㅠ
질문 있습니다!!! 
1. 이지워시인가요??!? 가볍게 1차 폼클세안만 해도되는지 아니면 클렌징 오일을 사용해 줘야하나요? 
2. 여러병 쟁이고 싶은데 보관해두면 자외선 차단력이 떨어지지는 않을까요? 전에 무기자차는 1년 경과하면 차단력이 떨어지니까 버리라고해서 그동안 항상 다 못쓰고 버렸었거든요 ㅠㅠㅠ.."
@lucia4453,"런칭 되자마자 4개 구성 구매해서 3일동안 써보고 후기 쑵니다~!~!
아직 구매 고민 중인 심쿵이들한테 
도움 될까 장단점 솔직하게 써요
(저는 너무 만족해서 4세트 추가 구매했지만 혹시라도 런칭 할인으로 대량 구매 했다가 후회하면 안되니까....ㅎ)

피부타입 : 수부지 + 홍조 + 속건조
특이사항 : 일주일 중 6일은 화장함

1. 발림성
 : 솔직히 제일 만족했던 부분이에요! 아무리 선세럼이라고 해도 조금은 버석거리거나 끈적거릴 줄 알았는데 진짜 뭔가 수분 세럼인데 썬크림 기능이 있는 느낌..? 바르고 나면 내가 썬크림을 바른건지, 수분세럼을 바른건지 약간 헷갈릴 정도로 좋음,,,

2. 톤업/백탁 현상
 : 평소에는 화장 전 톤업이 좀 되는 썬크림을 썼어서, 톤업 기능 없는 점이 좀 아쉽긴 함! 근데 요즘 유행하는 화잘먹 베이스? 프라이머처럼 오히려 좀 광이 돌아서 쿠션이 잘먹음ㅋㅋ

3. 눈시림
: 회사에서는 하루종일 렌즈끼고 있어서 인공눈물 달고 사는 사람으로, 눈시림 있는 썬크림들은 그냥 쳐다고 안보고 바로 갖다 버리는데,,,요건 없었음!!
진짜 순한 듯..?

* 솔직히? 용량이 적김 함ㅎ 매일 쓰다보면 빨리 다 쓸 듯
그리고 향도 개인차 탈 수 있을 듯? 
한줄 평 : 여름 대비 썬크림으로 쟁여놨는데 후회 없다!! 촉촉하고 화장이 잘먹음! 신생 브랜드라 걱정 많이 했는데 오히려 재구매까지 함ㅋㅋㅋ

꼭 구매 전에 읽어보시고 도움이 되길,,, 그럼 저는 이만,,,"
@parkhyeonah,"저는 선크림 50개는 넘게 구매해서 사용해본것 같아요 피부과것까지요 ㅠㅠ항상 좁쌀이나고 어떤건 피부가 따가운것도 있고 빨개지고 접촉성피부염이 올라올때도 잇어서 선크림을 아예 안바른적도 있었는데 늙는게 느껴져서 안되겟다싶어 어쩔수 없이 좁쌀니 나도 참고 바르는 사람입니다 ㅠㅠ 심톨님이랑 비슷한 피부여서 꼭  써보고싶은 제 마음이 느껴지실까요 ㅠㅠ
몸에 선크림 바르는건 제가 아토피도 있어서 정말 엄두도 안나는데.. 넘 궁금해요! 좋은 성분으로 만드셨다니까 정말 더더욱 사용해보고 싶은 마음입니다
 꼭 뽑아주세요"
@enyansong2224,"와~진짜...제가 선크림 싫어하는 이유를 정확하게 짚어주셨어요!! 제가 처음으로 공구를 하게 한 심톨님이 만드신 제품이라니...믿고 구매합니다. 기대되는 제품입니다. 특히 발림성!!!선크림의 그 느끼함이 항상 너무 싫었는데, 선세럼이라니...빨리 받아보고 싶어요"
@ssosso1698,"와 투명한 선크림이라니! 생소한데 너무 기대됩니다 
 여름에 바르기 좋아보여요! 몸에 꼭 선크림을 바르는데 여러개 써봐도 그 땀과 섞이면 끈적이는 느낌 극혐하는데 싹 스며든다니! 
.. 
그리고 저런 알갱이가 있는 제형도 화장하면 밀리더라구요~ 근데 아니라니 어떤 제형이길래!!! 너무 궁금한데요!!!!!🫢"
@5-qy7er,"요즘 선크림들이 많이 나와 어디꺼 살까 고민하고 있었는데 심톨언니 믿고 여기서 엄마꺼도 같이 구매해야겠어요!!
저도 피부 극예민해서 유기자차쓰면 트러블 나는데 제발 제피부에 맞았으면 좋겠네용ㅠㅠ"
@nadiayj,여름에 바디에 바르기 찝찝했는데 투명한 제형이라니 안 살수가 없겠네요 4개 세트 쟁였습니다 빨리 써보면 좋겠네요ㅎㅎ
@user-il7ni4ey6n,"인스타에서부터 선세럼이랑 모델링팩 정말 기다린 한 사람으로서 이건 못참줘🥹🫶 영상 보기전에 4개 먼저 구매하고 왔어요ㅎㅎ 뭐바르는거, 씌워져있는 느낌 싫어하시는 아빠부터 촉촉하고 안밀리는 엄마, 피부예민보스인 저까지!!! 다 만족할만 선세럼인것 같아서 기대가 됩니당!! 
50ml대용량도 존버해도 되는 부분인가용"
@user-yz7mv7uf2k,"심통님,,, 살앙해여,,,,
심톨님 덕분에 좋은 제품 구매합니다!"
@abgabgabga,"어제 새로운 선크림 삿는데 이거보고 또 삿어요 흑 🥹저는 진짜 무기자차는 너무 뜨고 백탁에 건조해서 못쓰고  유기자차 종류로 안써본 선크림이 없는데 유기자차는 또 얼굴열감에 트러블이.. ㅠㅠ 그래서 걍 포기하고 선크림 안쓰다가 유투브 영상들 보면 피부노화 어쩌고 또 겁을 너무 줘서 다시 바르기로 결정했서유 
로션같이 흡수된다하시니 그냥 로션삿다 생각하고(?) 3개 삿는데 부디 만족스러운 제품이길 기대합니다
가격, 구성은 아주붸리 굿입미다"
@user-vz9mm2nf5u,"가벼운 제형의 선크림을 찾고 있었는데 드디어 원하는 선크림을 찾은거 같아요!! 바로 구매 완료🥹
수부지에 민감성 피부라 맞는 선크림을 찾는게 어려웠는데 제 피부에 꼭 맞았으면 좋겠어요~ 좋은 제품 감사합니다:)"
@user-vt9em1xj8l,"안그래도 선크림이 똑 떨어져서 주문했었는데 영상보고 홀린듯이 네개 구매해버렸네여,,,핳 
피부가 엄청 예민해서 다른 제품 쓰면 바로 피부에 올라오는데 이건 안그러길 바라면서 4개 구매했어요!!! 담주에 일본으로 출국하는데 그 전에 오면 너무 좋겠네요ㅠㅠㅠ 로켓배송은 안될까요 하핳 무튼 로켓배송 아니여도 제품 오면 기대하고 써볼게용!!"
@jinheo1226,선세럼이라는 걸 영상보고 처음 알았어요! 진작에 알았으면 선크림말고 선세럼 써볼 걸 했는데 차라리 지금 알아서 이것 저것 안찾아보고 바로 이거 사보려구요 언니가 추천해주는 템인데 말모말모~
@haeppy5732,"토요일에 배송받고 3일 쭉 써봤는데 너어무 좋아요..
1. 텍스처: 진짜 세럼같아요.. 그냥 가벼운 물세럼!! 선크림 특유의 꾸덕하면서 잘 발리지 않고 젤 제형이라고 해도 바르면 피부에 막이 씌여지는 느낌이 싫었는데 이건 그냥 에센스라 진짜 이제 선크림 바르고 다닐거에여 ㅠㅠ 
2. 순함: 제가 진짜 초초초초예민피부라 클렌징제품 하나 바꿔도 바로 여드름이 올라오고 특히 선크림 잘못바르면 그 저녁에 세안할때 뾰루지랑 좁쌀 바로 올라오는데 전~~~ 혀 그런거 없었어요 
3. 간편함: 제형적 특징때문인지 퍼프형이라 얼굴에 직접 덜어써서 편해용 ㅎㅎ 짜서 쓰는거면 넘 많이 짜거나 조금 짜고 다시 짜다가 선크림 이곳저곳 묻히는데 그런게 없어용 ㅎㅎㅎ
4. 화장과의 궁합: 피부좋아진것같다는 소리 바로 들었어용 ㅎㅎㅎ 번들번들 아니고 광나요 ㅎㅎㅎ 조금 두드려서 흡수시키고 쿠션 먹이는거 추천이용 
그냥 아무 대가성 없지만,, 넘 좋아서 진심울 담아서 리뷰 써봅니다..! 디엠보내려다 많은 분들도 보고 쓰셔봤으면 좋겠어서용 ㅎㅎㅎ
심톨님께 딱 한가쥐.. 바라는점 
대용량… 부탁드려요"
@user-sr1vx1vb2g,최근에 선세럼 선크림을 많이 구매 했는데   눈시림을 피해가기가 쉽지가 않더라구요 제형이 마음에 들면 시간이 지나면 건조해지고 눈시림이 없으면 냄새가 이상하거나 식으로 마음에 드는 선크림이 없었는데 영상을 보니까 앰플처럼 막 바를 수 있을거 같고 심톨님의 진심이 느껴져서 3개 구매해버렸어요 ㅎㅎ 제 니즈에 맞기를 바라며 배송 기다리겠습니다🫶
@suyyeonn03,"저는 많은 선크림을 사용해 봤는데 선 세럼은 처음 봐요! 세럼은 크림보다 더 산뜻하기때문에 저는 이 제품이 기대가 되요
 저는 선크림 선택할 때 가장 신경 쓰는 부분이 백탁현상이 없는가 끈적하지 않는가 베이스 화장이 밀리지 않는가를 인데요 이 제품은 그런 걱정 안 해도 되겠어요! 산뜻하지만 속 보습은 채워주고 백탁 현상 없어서 많이 바를 수 있고 다음 베이스가 밀리지 않아서 너무 기대가 되는 제품이에요
 이렇게 완벽한 제품 처음 봐서 너무 신기해요 
 그리고 저는 수부지라서 속 보습 은근 신경 쓰고든용 ㅎㅎ 무엇보다 저는 대프리카에 살고 있어서 ㅋㅋ 자외선 차단은 필수라서 이 제품 너무 써보고 싶어요
️ 이 제품은 자외선 차단과 함께 피부 보습, 장벽형성, 진정 효과 등이 있어서 한 제품으로 여러가지 피부 관리할 수 있어서 너무나 기대가 되는 제품이에요
️
️"
@im__k,"여름이 다가와서 그런지 다른 유튜버들도 썬케어제품 런칭된거 소개 많이 해주더라구요. 살까말까 고민만하고 안샀는데, 이번 심톨님 영상보고 몇주동안 고민하던 여름 썬케어 제품 
️드디어
️ 질렀습니다. 2개 구매해서 하나는 저 하나는 엄마주려고 하는데 이벤트 당첨되면 곧 생일 다가오는 친구한테도 꼭 추천해주고 싶어요!!!!"
@user-rz1qb4bc9t,"제가 얼굴에 땀이 많은 편인데, 예민하고 복합성이라서 백탁 있는 무기자차를 쓰고 있는데요.. 날이 더워지기 시작하니까 5-10분 동안 두들겨서 흡수시(켰다고 생각했던)킨 선크림이 출근길에 땀과 함께 고-대로 희게 둥둥 뜨고 밀리고 지워지더라구요..^^ 회사 도착하면 이건 뭐 어디부터 손을 대야 할지 모를 정도… 심톨님 영상 종종 봐왔는데 이번 선크림.. 함께 하겠습니다.. 제형이나 효과나 딱 제가 필요한 선크림이네요.. 이거면 회사 도착해서 열심히 다시 발라도 아무도 모르겠죠? 또 회사에선 건조한 에어컨 바람 빵빵 맞을텐데 수분감 덕분에 얼굴 틀 걱정도 없을 것 같아요.. 얼른 받아서 써보고 싶네요.. 주문완…"
@user-dp6rm3iu2f,처음으로 댓글 남겨요!! 아묻따 구매완료했습니다~~!!! 안그래도 선크림은 항상 쟁여놓는데 선세럼이라니 듬뿍듬뿍 발라줘야겠어요~~~~ 런칭 진심으로 축하드려요!!
@ekekek3196,"선크림..찐득거려서 바르기 싫어하고 가벼운제형에 선밀크,선스틱도 좀쓰다 쓰기싫어지고 선스프레이까지 쓰고있는데 예민 피부라 뭐나는 느낌이에요 ㅜㅜ 이번에 선세럼 너무 기대되거용..믿고 4번세트 구매해봅니다..!!!!"
@user-ng2hg8zw4m,저는 30대 후반인데도 선크림 답답해서 안바르게 되거든요ㅠㅠ 근데 투명선크림이라해서 바로 결제하고왔어용!! 이런제품 찾아도 없었던거같은데 심톨님이 만드셨다하니 넘나 기대되용
@sojeong9658,"수부지라 기존에 나와있는 수분 선크림 위에 화장을 해도 시간이 지나면 밀려서 
기초만 바르고 냅다 쿠션을 두들겼는데 선세럼이라뇨ㅠㅠ 기초처럼 바를 수 있어서 너무 간편할 거 같아요!! 
더군다나 화장도 안 밀린다니 바로 쟁이러 갑니다...."
@fulloflilac,"저는 악건성 피부라서 기초를 아무리 탄탄히 발라도 선크림만 바르면 점심쯤부터 엄청 건조해져서 다시 크림 바르고 선크림 덧발라주고 있어요.
델피어는 촉촉한 세럼 제형이라 기대돼요 ! 
특히 얼굴 뿐만아니라 목,바디에 로션처럼 편하게 막 바를수있다고 해서 너무 기대돼요
심톨님 믿고 4개 질렀어요 !! 
이벤트도 열어주시고 감사해요 "
@user-qd7ko9bu8t,"선제품이 가장 어려워요 요즘 많이 로션, 에센스 제형처럼 산뜻하고 깔끔하고 촉촉하게 발리지만 현실 제 피부는 촉촉하고 화장 잘 먹으나 눈 시림으로 결국 눈가랑 닦아내면서 화장 지워지고, 눈 시림 없으면 파운데이션이나 쿠션 궁합이 아쉽거나.... 저만 이런거 아니죠? 그래서 심톨 선 세럼을 써보고 있어요!!! 성분 좋고해도 모든 조건이 맞는 선 제품은 없는가ㅠㅠㅠ"
@yeonjae._.v,"며칠전에 제주도에 다녀왓는데 평소에 쓰던 선크림쓰고 갔다가 피부 뒤집어졋어요…ㅠㅠㅠ 불그스름 버석버석해져서 속상해요언니
 아무래도 노세범이라 건조햇던것 같아서 촉촉한 거 찾고잇었는데! 심톨님 믿고 한번 시도해볼게요! 기대하구 응원하겟습니당"
@hongjye,"저희엄마는 순하고 좋다는 선크림 다 사드려도 바르시면 시간지나고 꼭 눈시림,눈따가움이 있으셔서 싫어하셨는데 심톨님 만드신거라니 엄청 기대 돼고 아묻따 쟁이려구요~
궁금한점도 있는데 씻었을때 잘 씻겨나가는지랑
쟁여둘 예정인데 유통기한도 궁금해요~
런칭 너무너무 축하드려요~"
@huihui5403,"와 진짜 요즘 피부장벽 무너져서인지 뭘 발라도 따갑길래 아 진짜 내일부턴 썬크림 안바르고 다녀야겠다 도저히 안되겠다 이러고 있었는데
 진정까지 되는 썬세럼이라니!! 이런건 첨보네요ㅠㅠㅜ바르고 따갑지만 않음 넘 좋겠는데ㅠㅡㅠ 민감 트러블성 피부가 써도 괜찮겠죵?! 카밍이라하니 믿고 써볼게용ㅎㅎ 이제 더이상 썬크림 바르고 아프지 않길.."
@dahid012,"심톨님 추천 선크림 이제...입아프다!!
저는 선크림 바르면 베이스 다 밀려서 별로다 생각했는데 이제 아니라는걸 알았어요!ㅎㅎ선크림 바르고 자외선으로 피부도 지키고,진정까지 시킬 수 있다면 이것만큼 좋은건 없겠는데요?🩵🩵"
@user-lsy_momo,"영상에서 말해준것 처럼 느끼한 느낌의
크림이라 손이 잘 안갔고, 파운데이션 밀림 현상을 느껴본 사람으로 썬크림은 물놀이 갈때만 바르는! 이런 느낌이 강했는데

선세럼 제품은 기초단계 느낌으로 
바르는데 알고보니 선크림까지 나는 다~ 바른거지! 라는 단계라는게 너무 매력있어요!! 

연예인 중 최고 동안 최화정님도 일어나면 집에서도 선크림 바른다는대 저도 최화정님의 동안 비법 선세럼으로 따라 할 수 있게 되어서 기대됩니다!!"
@jjinheeee,드디어 출시 ㅠㅠㅠㅠㅠ 바로 구매갑니댜
@jinny3600,"재형이 진짜 신기하네용… 저는 요런 투명?한 재형의 선크림은 처음봐요! 여름에 선크림을 자주 바르는 사람으로써 엄청 꼼꼼하게 고르는데 눈시림도 없고 선세럼이라서 사용해보고 싶네용..
 마침 쓰는 선크림이 눈시림이 심해서 다른거 찾아보고 있었서요.."
@ruddnjs853,선크림 항상 달고 다닐 정도로 열심히 바르는데 금방 기름져지는 거랑 여드름 올라오는 거 때문에 고민이었어요ㅜ 가볍고 투명하다고 하셔서 기대됩니다!!
@0511chacha,선스틱 쓰고 있는데 스틱 제형은 골고루 잘 발라지지 않는다는 후기 보고 고민 하고 있었는데 딱 심톨님 선세럼이! 더구나 가족 모두 다 다른 선크림 쓰기 애매 했는데 요 제품으로는 가족 모두 케어가 가능 할 것 같아요! 쟁여둘려고 사용기한(유통기한) 문의 남겨놨어요! 답변 받고 쟁이러 갑니다! ㅋㅋ
@Moon-kp5nk,"안녕하세요^^
처음 보는 영상인데 썬크림이 투명하고 시원해보여서 믿고 구매했어요. 기초제품같은 느낌이네요. 신세계라 사용감도 좋을 것 같아요. 남자들도 잘 쓸 것 같고. 좋은 제품 감사합니다~~!"
@wnyeoni1125,"선세럼인데 투명너낌이라니..... 완전 신기방기....
사용감 어떨지 완전 궁금해요....."
@user-hc3dc3uo5x,저도 여태 살면서 수많은 선크림을 돈주고 사서 써봤지먼 여태 정착한 선크림이 없어서 고민이 많습니다 ㅠㅠ 저는 원래 채널 보던 사람은 아니고 알고리즘으로 우연히 이 영상이 떠서 정독하게 되었는데 이 제품에 대해 많이 궁금해지네요 항상 화장품들이 촉촉하다고 말하는건 저같은 지성이 (수부지도 아님 그냥 유분 가득 지성) 느끼기엔 다 무겁고 기름기로 느껴지거든요 과연 이 제품은 다를지 궁금합니다
@user-kh1kq4yw2v,ㅎㅎㅎ댓글처음써봐서 쓰는곳 찾느라 땀삐질! 바로 쿠팡서 3개 샀어요...기존제가 쓰던 썬스틱은 꾸덕해서 발림감이 좀 별루 였는데 이 썬크림은 완전 기대돼요아쿠아리치워터리젤썬블록...잘써보고 좋으면 또 재구매할께요!^___^*★*
@parkkkkkkz,샘플 사용 없이는 절대 구입하지않는데 언니 믿고 4개 바로 구입갑니다🫶 두근두근 기대됩니다
@user-jp4cl4jq6n,"와 대박 … 드디어 물건 나왔네요? 심톨 언니가 만든 선세럼 당장 바르고 싶은 사람 나야 나 
 살 잘 타는 하얀 누렁인지라 햇빛 피해다니기 바쁜데, 여름엔 운전하면서 어쩔도리 없이 손등, 손가락은 기본으로 누렁해져서 속상하거든요 ㅠ 언니가 만든 선세럼은 가볍게 발리는 제형이라서 불편하지 않게 계속 손이 갈 것 같은 느낌!!!"
@8lo556,아무리 가벼운 선크림이다 해도 텁텁 찝찝했는데 기대가 엄청 됩니다앙
@user-lf4cn3rz8o,어떤 썬크림을 써도 밀리고 갑갑해서 화장도 잘 안했는데 세럼형태라고 해서 이거구나 하면서 구매했어요!! 제 피부랑 잘 맞길 기대중이에요
@user-vo7mv7md4m,4개 주문완료했습니다~ 심톨님 말씀대로 런칭 가라 가장 저렴한 해택이라 하여 3개를 주문 하려다 4개 질렀습니다 일 끝나고 이벤트 댓글 참여도 해보겠습니다~ 심톨님 홧팅♡
